category,title_group,english_level,it_experience_years,salary_usd
Quality Assurance,Senior-level,Upper-Intermediate,9.0,4250.0
Quality Assurance,Senior-level,Upper-Intermediate,9.0,5000.0
DevOps,Mid-level,Upper-Intermediate,4.0,3400.0
Software Engineer,Senior-level,Upper-Intermediate,11.0,4200.0
Quality Assurance,Senior-level,Upper-Intermediate,9.0,4600.0
Quality Assurance,Tech leadership,Pre-Intermediate,10.0,4500.0
Management,Mid-level,Advanced,3.0,2000.0
Quality Assurance,Mid-level,Advanced,4.0,1700.0
Quality Assurance,Mid-level,Intermediate,6.0,2000.0
Other,Management,Advanced,6.0,5650.0
Other,Senior-level,Pre-Intermediate,7.0,2500.0
Analyst,Mid-level,Upper-Intermediate,3.0,1900.0
Quality Assurance,Senior-level,Upper-Intermediate,13.0,3700.0
Analyst,Entry-level,Upper-Intermediate,1.0,850.0
Quality Assurance,Mid-level,Upper-Intermediate,5.0,2000.0
Data Scientist,Senior-level,Intermediate,5.0,3500.0
Marketing,Senior-level,Intermediate,7.0,3500.0
Software Engineer,Mid-level,Pre-Intermediate,4.0,2800.0
Software Engineer,Senior-level,Upper-Intermediate,5.0,3500.0
Analyst,Senior-level,Advanced,6.0,4100.0
Quality Assurance,Tech leadership,Pre-Intermediate,8.0,4000.0
Quality Assurance,Mid-level,Intermediate,6.0,1770.0
Quality Assurance,Mid-level,Upper-Intermediate,4.0,2400.0
Quality Assurance,Mid-level,Intermediate,3.0,1800.0
Management,Entry-level,Advanced,0.5,600.0
Software Engineer,Mid-level,Upper-Intermediate,4.0,1500.0
Quality Assurance,Mid-level,Intermediate,5.0,1650.0
Design,Entry-level,Upper-Intermediate,0.5,500.0
DevOps,Mid-level,Pre-Intermediate,1.5,3100.0
Quality Assurance,Senior-level,Intermediate,6.0,6800.0
Management,Management,Advanced,18.0,4500.0
Other,Senior-level,Upper-Intermediate,10.0,4000.0
Analyst,Senior-level,Advanced,4.0,4000.0
Software Engineer,Mid-level,Intermediate,3.0,1300.0
Quality Assurance,Entry-level,Intermediate,2.0,1500.0
Quality Assurance,Mid-level,Pre-Intermediate,4.0,1400.0
Quality Assurance,Mid-level,Advanced,4.0,2225.0
DevOps,Mid-level,Intermediate,3.0,2500.0
Quality Assurance,Management,Upper-Intermediate,8.0,6000.0
Sales,Mid-level,Intermediate,2.0,1600.0
Quality Assurance,Senior-level,Advanced,7.0,3700.0
Analyst,Entry-level,Advanced,1.0,960.0
Management,Management,Advanced,5.0,7600.0
Quality Assurance,Senior-level,Upper-Intermediate,10.0,4000.0
Quality Assurance,Mid-level,Intermediate,3.0,1600.0
Software Engineer,Mid-level,Intermediate,7.0,3500.0
Analyst,Mid-level,Intermediate,2.0,1850.0
Quality Assurance,Tech leadership,Upper-Intermediate,8.0,4100.0
Quality Assurance,Mid-level,Upper-Intermediate,5.0,2000.0
Customer Support,Senior-level,Upper-Intermediate,5.0,2700.0
Data Scientist,Mid-level,Advanced,4.0,3500.0
DevOps,Entry-level,Upper-Intermediate,0.25,540.0
Management,Tech leadership,Advanced,7.0,6500.0
Quality Assurance,Mid-level,Upper-Intermediate,3.0,2200.0
Other,Mid-level,Upper-Intermediate,1.5,1254.0
Data Scientist,Tech leadership,Advanced,6.0,3500.0
HR,Entry-level,Pre-Intermediate,0.5,480.0
Analyst,Senior-level,Intermediate,6.0,3550.0
Management,Executive,Advanced,10.0,8460.0
Quality Assurance,Entry-level,Upper-Intermediate,1.0,800.0
Software Engineer,Entry-level,Upper-Intermediate,0.5,400.0
SysAdmin,Entry-level,Upper-Intermediate,0.25,800.0
Design,Mid-level,Upper-Intermediate,3.0,2500.0
Marketing,Entry-level,Elementary,0.25,700.0
Data Scientist,Mid-level,Upper-Intermediate,3.0,2850.0
Quality Assurance,Mid-level,Intermediate,4.0,1800.0
Security,Senior-level,Upper-Intermediate,8.0,2800.0
Quality Assurance,Tech leadership,Intermediate,8.0,5000.0
Quality Assurance,Tech leadership,Advanced,4.0,4000.0
Management,Mid-level,Intermediate,1.0,3025.0
DevOps,Senior-level,Advanced,3.0,4500.0
Quality Assurance,Mid-level,Intermediate,5.0,1800.0
DevOps,Senior-level,Intermediate,5.0,6500.0
DevOps,Tech leadership,Advanced,11.0,7500.0
Software Engineer,Mid-level,Upper-Intermediate,4.0,2850.0
Quality Assurance,Mid-level,Intermediate,4.0,1500.0
Software Engineer,Mid-level,Upper-Intermediate,4.0,3600.0
Quality Assurance,Mid-level,Upper-Intermediate,4.0,2250.0
Management,Entry-level,Advanced,1.5,1200.0
DevOps,Mid-level,Intermediate,5.0,2800.0
Quality Assurance,Mid-level,Intermediate,6.0,3200.0
Marketing,Senior-level,Advanced,4.0,3500.0
Software Engineer,Mid-level,Intermediate,3.0,2300.0
Data Scientist,Entry-level,Upper-Intermediate,1.0,1250.0
Management,Tech leadership,Upper-Intermediate,7.0,6000.0
Software Engineer,Senior-level,Upper-Intermediate,12.0,7000.0
Quality Assurance,Entry-level,Advanced,2.0,800.0
Analyst,Entry-level,Upper-Intermediate,3.0,700.0
Design,Senior-level,Upper-Intermediate,6.0,6000.0
Quality Assurance,Mid-level,Upper-Intermediate,3.0,2100.0
Quality Assurance,Entry-level,Pre-Intermediate,0.5,480.0
Quality Assurance,Mid-level,Advanced,5.0,2580.0
Quality Assurance,Mid-level,Upper-Intermediate,3.0,2000.0
Management,Management,Upper-Intermediate,10.0,4400.0
Quality Assurance,Mid-level,Intermediate,6.0,2200.0
Software Engineer,Senior-level,Intermediate,10.0,3900.0
Analyst,Entry-level,Pre-Intermediate,1.0,1500.0
Data Scientist,Mid-level,Upper-Intermediate,4.0,3000.0
Software Engineer,Mid-level,Upper-Intermediate,2.0,2000.0
DevOps,Senior-level,Upper-Intermediate,5.0,8000.0
Management,Mid-level,Upper-Intermediate,4.0,1800.0
Management,Mid-level,Upper-Intermediate,1.5,2500.0
Analyst,Mid-level,Upper-Intermediate,5.0,2500.0
Quality Assurance,Mid-level,Upper-Intermediate,4.0,1400.0
Management,Mid-level,Upper-Intermediate,1.5,1950.0
Quality Assurance,Entry-level,Pre-Intermediate,0.1,550.0
Design,Mid-level,Intermediate,4.0,2500.0
Design,Mid-level,Pre-Intermediate,5.0,1600.0
DevOps,Tech leadership,Upper-Intermediate,7.0,5200.0
Design,Mid-level,Upper-Intermediate,1.0,1500.0
Analyst,Mid-level,Pre-Intermediate,4.0,1200.0
Other,Management,Upper-Intermediate,10.0,5500.0
Design,Mid-level,Elementary,2.0,2000.0
Quality Assurance,Mid-level,Intermediate,5.0,1700.0
Analyst,Entry-level,Upper-Intermediate,0.5,1480.0
Other,Mid-level,Upper-Intermediate,3.0,1800.0
DevOps,Senior-level,Upper-Intermediate,6.0,5100.0
Software Engineer,Senior-level,Upper-Intermediate,5.0,3000.0
Quality Assurance,Mid-level,Advanced,5.0,4000.0
Management,Tech leadership,Advanced,5.0,3500.0
Quality Assurance,Senior-level,Advanced,7.0,2700.0
Software Engineer,Senior-level,Upper-Intermediate,6.0,6000.0
Marketing,Senior-level,Upper-Intermediate,5.0,4000.0
HR,Mid-level,Intermediate,3.0,1400.0
Quality Assurance,Mid-level,Upper-Intermediate,2.0,1950.0
Software Engineer,Tech leadership,Upper-Intermediate,5.0,4200.0
Quality Assurance,Mid-level,Intermediate,5.0,1500.0
Quality Assurance,Senior-level,Intermediate,6.0,3600.0
DevOps,Senior-level,Upper-Intermediate,6.0,6630.0
Quality Assurance,Entry-level,Intermediate,2.0,1300.0
Marketing,Entry-level,Intermediate,0.25,705.0
Software Engineer,Mid-level,Pre-Intermediate,5.0,1700.0
Quality Assurance,Senior-level,Upper-Intermediate,8.0,2940.0
Quality Assurance,Senior-level,Upper-Intermediate,7.0,4500.0
Software Engineer,Senior-level,Advanced,8.0,6700.0
Management,Mid-level,Advanced,4.0,2000.0
HR,Mid-level,Upper-Intermediate,4.0,1450.0
Data Scientist,Mid-level,Advanced,4.0,3900.0
Software Engineer,Tech leadership,Intermediate,5.0,3700.0
Analyst,Senior-level,Upper-Intermediate,6.0,4800.0
Design,Mid-level,Intermediate,2.0,1500.0
Software Engineer,Tech leadership,Advanced,18.0,6300.0
Data Scientist,Senior-level,Upper-Intermediate,4.0,5600.0
Software Engineer,Senior-level,Upper-Intermediate,8.0,3800.0
Quality Assurance,Senior-level,Intermediate,7.0,5500.0
Other,Mid-level,Upper-Intermediate,3.0,1500.0
Analyst,Entry-level,Intermediate,2.0,1500.0
Design,Mid-level,Upper-Intermediate,4.0,1300.0
Marketing,Mid-level,Advanced,3.0,1500.0
Management,Mid-level,Upper-Intermediate,4.0,2000.0
Analyst,Senior-level,Advanced,6.0,4950.0
Management,Executive,Upper-Intermediate,14.0,6800.0
Software Engineer,Mid-level,Upper-Intermediate,4.0,2500.0
Quality Assurance,Mid-level,Upper-Intermediate,4.0,2600.0
DevOps,Senior-level,Advanced,6.0,5000.0
Software Engineer,Senior-level,Upper-Intermediate,5.0,4100.0
Quality Assurance,Senior-level,Intermediate,3.0,3500.0
Design,Entry-level,Pre-Intermediate,2.0,1330.0
SysAdmin,Mid-level,Intermediate,6.0,2900.0
Data Scientist,Entry-level,Upper-Intermediate,2.0,1000.0
Design,Senior-level,Upper-Intermediate,12.0,5000.0
Quality Assurance,Mid-level,Intermediate,4.0,1800.0
DevOps,Senior-level,Upper-Intermediate,7.0,7500.0
Quality Assurance,Mid-level,Upper-Intermediate,2.0,2100.0
Quality Assurance,Senior-level,Intermediate,10.0,4000.0
DevOps,Tech leadership,Pre-Intermediate,4.0,3500.0
Software Engineer,Tech leadership,Upper-Intermediate,4.0,5300.0
Software Engineer,Senior-level,Upper-Intermediate,7.0,7200.0
Design,Entry-level,Upper-Intermediate,0.25,750.0
Software Engineer,IC-high,Upper-Intermediate,7.0,5816.0
Quality Assurance,Senior-level,Intermediate,11.0,2500.0
Data Scientist,Mid-level,Upper-Intermediate,4.0,2950.0
Customer Support,Mid-level,Intermediate,3.0,1800.0
Quality Assurance,Senior-level,Upper-Intermediate,6.0,3660.0
Design,Mid-level,Upper-Intermediate,2.0,1650.0
Software Engineer,Tech leadership,Upper-Intermediate,20.0,5200.0
Software Engineer,Mid-level,Upper-Intermediate,4.0,2000.0
DevOps,Mid-level,Upper-Intermediate,3.0,1900.0
Quality Assurance,Mid-level,Intermediate,7.0,2600.0
Analyst,Entry-level,Upper-Intermediate,0.25,600.0
Marketing,Mid-level,Upper-Intermediate,2.0,2700.0
Quality Assurance,Mid-level,Upper-Intermediate,4.0,3700.0
Management,Mid-level,Upper-Intermediate,6.0,2750.0
Design,Mid-level,Upper-Intermediate,3.0,1900.0
Software Engineer,Senior-level,Upper-Intermediate,10.0,4000.0
Data Scientist,Mid-level,Upper-Intermediate,3.0,1800.0
Quality Assurance,Mid-level,Intermediate,4.0,1800.0
Design,Mid-level,Intermediate,3.0,2200.0
Quality Assurance,Mid-level,Advanced,4.0,1850.0
Software Engineer,Senior-level,Pre-Intermediate,7.0,4500.0
Management,Senior-level,Upper-Intermediate,6.0,3500.0
Data Scientist,Entry-level,Upper-Intermediate,1.0,850.0
Software Engineer,Mid-level,I don't know,6.0,3200.0
Software Engineer,Senior-level,Intermediate,7.0,4300.0
Analyst,Entry-level,Upper-Intermediate,1.5,1100.0
Quality Assurance,Senior-level,Advanced,9.0,2800.0
Quality Assurance,Mid-level,Upper-Intermediate,4.0,1300.0
Management,Management,Upper-Intermediate,10.0,3500.0
DevOps,Senior-level,Upper-Intermediate,6.0,3500.0
Quality Assurance,Senior-level,Upper-Intermediate,11.0,3100.0
Quality Assurance,Mid-level,Upper-Intermediate,5.0,1643.0
Software Engineer,Management,Upper-Intermediate,5.0,6000.0
Data Scientist,IC-high,Upper-Intermediate,7.0,5180.0
Design,Senior-level,Advanced,6.0,2949.0
Software Engineer,Mid-level,Upper-Intermediate,3.0,2320.0
Quality Assurance,Mid-level,Intermediate,5.0,1200.0
Quality Assurance,Mid-level,Intermediate,4.0,1555.0
DevOps,Tech leadership,Advanced,6.0,3700.0
Software Engineer,Senior-level,Upper-Intermediate,6.0,6000.0
Quality Assurance,Senior-level,Intermediate,8.0,3500.0
Quality Assurance,Mid-level,Upper-Intermediate,3.0,1950.0
DevOps,Senior-level,Intermediate,10.0,5200.0
Software Engineer,Tech leadership,Pre-Intermediate,5.0,3800.0
Analyst,Senior-level,Intermediate,14.0,2600.0
Security,Tech leadership,Upper-Intermediate,6.0,3600.0
Quality Assurance,Mid-level,Advanced,4.0,1600.0
Software Engineer,Senior-level,Intermediate,7.0,2800.0
Analyst,Mid-level,Intermediate,5.0,2500.0
Software Engineer,Mid-level,Intermediate,5.0,1650.0
Quality Assurance,Senior-level,Upper-Intermediate,10.0,2800.0
Quality Assurance,Mid-level,Elementary,7.0,2500.0
Quality Assurance,Senior-level,Upper-Intermediate,13.0,4000.0
Quality Assurance,Entry-level,Upper-Intermediate,1.0,600.0
Marketing,Mid-level,Upper-Intermediate,2.0,2400.0
Marketing,Management,Advanced,5.0,5000.0
Quality Assurance,Senior-level,Pre-Intermediate,5.0,4600.0
Management,Senior-level,Intermediate,4.0,3500.0
Design,Tech leadership,Advanced,14.0,4000.0
Technical Writing,Senior-level,Advanced,8.0,6600.0
Other,Entry-level,Upper-Intermediate,2.0,650.0
Analyst,Tech leadership,Advanced,7.0,6250.0
Design,Mid-level,Intermediate,3.0,1500.0
Quality Assurance,Senior-level,Upper-Intermediate,6.0,3400.0
Management,Management,Upper-Intermediate,4.0,6000.0
Data Scientist,Senior-level,Upper-Intermediate,3.0,3150.0
Quality Assurance,Mid-level,Advanced,3.0,2210.0
Analyst,Entry-level,Advanced,1.0,525.0
Customer Support,Entry-level,Elementary,0.5,675.0
Software Engineer,Senior-level,Intermediate,7.0,5000.0
Software Engineer,Entry-level,Intermediate,2.0,1000.0
Data Scientist,Mid-level,Advanced,3.0,2400.0
Marketing,Entry-level,Pre-Intermediate,1.0,800.0
Software Engineer,Tech leadership,Pre-Intermediate,4.0,5800.0
Software Engineer,Tech leadership,Upper-Intermediate,6.0,5700.0
Analyst,Mid-level,Advanced,2.0,1700.0
Other,Entry-level,Intermediate,1.0,1220.0
Quality Assurance,Mid-level,Intermediate,5.0,2800.0
DevOps,Mid-level,Intermediate,3.0,2680.0
Analyst,Mid-level,Upper-Intermediate,3.0,2100.0
Quality Assurance,Mid-level,Upper-Intermediate,5.0,2700.0
Quality Assurance,Senior-level,Intermediate,3.0,3400.0
Design,Mid-level,Upper-Intermediate,4.0,3000.0
Other,Mid-level,Intermediate,3.0,1500.0
Software Engineer,Senior-level,Upper-Intermediate,10.0,4500.0
Quality Assurance,Mid-level,Upper-Intermediate,3.0,3000.0
Software Engineer,Mid-level,Intermediate,7.0,3000.0
Quality Assurance,Entry-level,Pre-Intermediate,0.5,550.0
Other,Mid-level,Upper-Intermediate,4.0,3000.0
Technical Writing,Mid-level,Advanced,5.0,1600.0
Analyst,Mid-level,Upper-Intermediate,3.0,2000.0
Quality Assurance,Entry-level,Intermediate,3.0,974.0
DevOps,Mid-level,Advanced,3.0,2100.0
Analyst,Senior-level,Upper-Intermediate,8.0,3100.0
Other,Entry-level,Upper-Intermediate,0.5,600.0
Quality Assurance,Senior-level,Upper-Intermediate,6.0,2900.0
Software Engineer,Entry-level,Upper-Intermediate,1.0,500.0
Design,Mid-level,Elementary,3.0,2500.0
Design,Mid-level,Upper-Intermediate,1.5,1550.0
Quality Assurance,Entry-level,Advanced,1.0,522.0
DevOps,Senior-level,Pre-Intermediate,7.0,5000.0
Management,Senior-level,Upper-Intermediate,10.0,6000.0
Quality Assurance,Mid-level,Upper-Intermediate,3.0,1600.0
HR,Executive,Upper-Intermediate,8.0,8000.0
Sales,Senior-level,Advanced,6.0,3500.0
Marketing,Tech leadership,Upper-Intermediate,10.0,4300.0
Quality Assurance,Mid-level,Intermediate,5.0,2500.0
Quality Assurance,Senior-level,Advanced,9.0,5900.0
DevOps,Senior-level,Upper-Intermediate,10.0,8000.0
DevOps,Senior-level,Elementary,9.0,4150.0
Software Engineer,Senior-level,Upper-Intermediate,8.0,6000.0
Quality Assurance,Senior-level,Pre-Intermediate,7.0,3300.0
Quality Assurance,Tech leadership,Upper-Intermediate,9.0,4000.0
Management,Senior-level,Upper-Intermediate,10.0,5600.0
Quality Assurance,Mid-level,Upper-Intermediate,3.0,1600.0
Management,Executive,Advanced,18.0,8000.0
Sales,Management,Upper-Intermediate,20.0,6050.0
DevOps,Senior-level,Upper-Intermediate,12.0,8000.0
Software Engineer,IC-high,Advanced,6.0,8500.0
Quality Assurance,Mid-level,Pre-Intermediate,2.0,1200.0
Software Engineer,Mid-level,Intermediate,4.0,1850.0
Quality Assurance,Tech leadership,Pre-Intermediate,8.0,4000.0
Analyst,Senior-level,Intermediate,4.0,6000.0
Sales,Entry-level,Intermediate,0.5,525.0
Software Engineer,Mid-level,Upper-Intermediate,5.0,3200.0
Design,Senior-level,Intermediate,10.0,5500.0
Management,Mid-level,Advanced,3.0,2800.0
Software Engineer,Senior-level,Advanced,5.0,4300.0
Data Scientist,Senior-level,Advanced,5.0,5500.0
Other,Entry-level,Pre-Intermediate,1.0,1000.0
Marketing,Entry-level,Intermediate,1.5,500.0
Quality Assurance,Entry-level,Intermediate,1.5,900.0
Software Engineer,Mid-level,Upper-Intermediate,6.0,2400.0
Software Engineer,Senior-level,Upper-Intermediate,10.0,6000.0
Design,Mid-level,Upper-Intermediate,3.0,1500.0
SysAdmin,Entry-level,Upper-Intermediate,3.0,1300.0
Quality Assurance,Mid-level,Intermediate,3.0,2100.0
Design,Mid-level,Upper-Intermediate,2.0,1300.0
Software Engineer,Tech leadership,Advanced,8.0,5600.0
Other,Tech leadership,Upper-Intermediate,5.0,5500.0
Software Engineer,Tech leadership,Intermediate,8.0,5000.0
Quality Assurance,Senior-level,Intermediate,5.0,3200.0
Management,Management,Intermediate,6.0,4500.0
DevOps,Mid-level,Upper-Intermediate,5.0,3150.0
Software Engineer,Tech leadership,Advanced,10.0,4000.0
Software Engineer,Senior-level,Advanced,10.0,7000.0
Analyst,Tech leadership,Upper-Intermediate,5.0,4000.0
Quality Assurance,Mid-level,Intermediate,1.5,3000.0
Quality Assurance,Senior-level,Upper-Intermediate,6.0,4100.0
Software Engineer,Mid-level,Upper-Intermediate,3.0,1500.0
Design,Senior-level,Upper-Intermediate,7.0,3500.0
Quality Assurance,Mid-level,Upper-Intermediate,5.0,2000.0
Software Engineer,Senior-level,Advanced,6.0,5000.0
Data Scientist,Tech leadership,Upper-Intermediate,6.0,5000.0
DevOps,Senior-level,Pre-Intermediate,8.0,5000.0
Quality Assurance,Mid-level,Upper-Intermediate,3.0,1200.0
Management,Entry-level,Upper-Intermediate,2.0,1000.0
DevOps,Mid-level,Upper-Intermediate,2.0,3800.0
Design,Mid-level,Intermediate,4.0,2200.0
Quality Assurance,Entry-level,Upper-Intermediate,3.0,1250.0
Design,Senior-level,Intermediate,10.0,2700.0
Software Engineer,Senior-level,Upper-Intermediate,8.0,4200.0
Software Engineer,Entry-level,Intermediate,1.5,800.0
Management,Management,Upper-Intermediate,7.0,5000.0
Software Engineer,Mid-level,Upper-Intermediate,4.0,3100.0
Quality Assurance,Entry-level,Upper-Intermediate,3.0,1600.0
Software Engineer,Senior-level,Intermediate,6.0,4500.0
Design,Mid-level,Upper-Intermediate,5.0,1800.0
Quality Assurance,Mid-level,Upper-Intermediate,6.0,2600.0
Software Engineer,Entry-level,Upper-Intermediate,0.5,900.0
Management,Mid-level,Upper-Intermediate,3.0,1900.0
Analyst,Mid-level,Advanced,2.0,1400.0
Quality Assurance,Senior-level,Upper-Intermediate,14.0,3500.0
Quality Assurance,Mid-level,Upper-Intermediate,3.0,1900.0
Security,Senior-level,Intermediate,6.0,3000.0
Other,Mid-level,Upper-Intermediate,5.0,1445.0
Quality Assurance,Entry-level,Upper-Intermediate,2.0,1050.0
Data Scientist,Senior-level,Upper-Intermediate,4.0,5640.0
Management,Mid-level,Upper-Intermediate,3.0,3300.0
Management,Mid-level,Upper-Intermediate,2.0,1600.0
Quality Assurance,Mid-level,Intermediate,5.0,2900.0
Quality Assurance,Mid-level,Intermediate,6.0,2100.0
Management,Mid-level,Upper-Intermediate,4.0,2300.0
Quality Assurance,Senior-level,Intermediate,7.0,3300.0
Quality Assurance,Management,Advanced,4.0,5000.0
Quality Assurance,Senior-level,Intermediate,8.0,2813.0
Software Engineer,Mid-level,Upper-Intermediate,4.0,2800.0
Management,Mid-level,Upper-Intermediate,4.0,3100.0
Other,Mid-level,Upper-Intermediate,3.0,1500.0
Quality Assurance,Mid-level,Intermediate,3.0,1300.0
Design,Senior-level,Upper-Intermediate,5.0,3200.0
Management,Senior-level,Upper-Intermediate,5.0,4500.0
Analyst,Mid-level,Advanced,3.0,2000.0
Quality Assurance,Mid-level,Advanced,2.0,1500.0
Customer Support,Mid-level,Advanced,4.0,1980.0
Management,Management,Advanced,18.0,8000.0
Quality Assurance,Entry-level,Upper-Intermediate,1.5,700.0
Analyst,Tech leadership,Intermediate,4.0,3750.0
Design,Senior-level,Intermediate,10.0,3500.0
HR,Mid-level,Pre-Intermediate,5.0,1500.0
Software Engineer,Mid-level,Intermediate,5.0,3600.0
Quality Assurance,Mid-level,Intermediate,3.0,1200.0
DevOps,IC-high,Advanced,10.0,8500.0
Design,Mid-level,Intermediate,6.0,2000.0
Software Engineer,Senior-level,Pre-Intermediate,6.0,3500.0
Marketing,Mid-level,Advanced,2.0,1500.0
DevOps,Senior-level,Upper-Intermediate,4.0,5500.0
Software Engineer,Senior-level,Advanced,11.0,5000.0
Quality Assurance,Mid-level,Upper-Intermediate,4.0,2300.0
Design,Mid-level,Advanced,4.0,1750.0
DevOps,Mid-level,Intermediate,1.5,1700.0
Software Engineer,Tech leadership,Upper-Intermediate,8.0,6000.0
Data Scientist,Entry-level,Intermediate,1.5,860.0
Management,Entry-level,Upper-Intermediate,0.5,1200.0
Management,Management,Upper-Intermediate,9.0,3900.0
DevOps,Senior-level,Upper-Intermediate,7.0,6500.0
Quality Assurance,Mid-level,Upper-Intermediate,3.0,3200.0
Software Engineer,Senior-level,Intermediate,14.0,6300.0
Data Scientist,Senior-level,Upper-Intermediate,6.0,5500.0
Software Engineer,Mid-level,Intermediate,4.0,2340.0
Management,Senior-level,Elementary,4.0,4000.0
Quality Assurance,Entry-level,Intermediate,2.0,950.0
Software Engineer,Mid-level,Advanced,5.0,3750.0
Data Scientist,Mid-level,Intermediate,3.0,2700.0
Quality Assurance,Mid-level,Intermediate,5.0,2400.0
Software Engineer,Tech leadership,Upper-Intermediate,5.0,6800.0
Quality Assurance,Mid-level,Upper-Intermediate,3.0,1200.0
Quality Assurance,Mid-level,Upper-Intermediate,3.0,2000.0
Software Engineer,Senior-level,Upper-Intermediate,6.0,4850.0
Software Engineer,Mid-level,Intermediate,7.0,2700.0
Design,Mid-level,Pre-Intermediate,2.0,2400.0
Analyst,Senior-level,Intermediate,9.0,3750.0
Design,Mid-level,Intermediate,4.0,2800.0
Analyst,Mid-level,Intermediate,1.5,1200.0
Software Engineer,Senior-level,Upper-Intermediate,6.0,3100.0
Software Engineer,Senior-level,Advanced,14.0,4500.0
Analyst,Entry-level,Intermediate,1.0,830.0
Quality Assurance,Mid-level,Intermediate,2.0,1650.0
Marketing,Mid-level,Upper-Intermediate,3.0,2500.0
Marketing,Mid-level,Upper-Intermediate,4.0,2000.0
Software Engineer,Entry-level,Upper-Intermediate,1.5,1300.0
Other,Mid-level,Intermediate,3.0,2200.0
DevOps,Mid-level,Intermediate,2.0,1900.0
Security,Entry-level,Upper-Intermediate,2.0,430.0
Software Engineer,Entry-level,Upper-Intermediate,1.0,1170.0
Software Engineer,Senior-level,Upper-Intermediate,5.0,3300.0
Management,Executive,Intermediate,20.0,6000.0
DevOps,Tech leadership,Upper-Intermediate,10.0,3700.0
Quality Assurance,Mid-level,Upper-Intermediate,4.0,1720.0
Analyst,Mid-level,Upper-Intermediate,4.0,3000.0
Quality Assurance,Senior-level,Intermediate,5.0,3500.0
Software Engineer,Tech leadership,Upper-Intermediate,12.0,7990.0
Management,Management,Upper-Intermediate,10.0,3700.0
Software Engineer,Mid-level,Upper-Intermediate,6.0,3500.0
Marketing,Management,Upper-Intermediate,9.0,7500.0
Design,Mid-level,Upper-Intermediate,3.0,1800.0
Quality Assurance,Senior-level,Advanced,6.0,2750.0
Design,Entry-level,Upper-Intermediate,2.0,1200.0
Management,Management,Advanced,13.0,6200.0
DevOps,Senior-level,Intermediate,5.0,4700.0
Analyst,Senior-level,Advanced,7.0,3750.0
Management,Senior-level,Upper-Intermediate,6.0,5000.0
Management,Mid-level,Upper-Intermediate,4.0,2300.0
Design,Entry-level,Pre-Intermediate,2.0,500.0
Software Engineer,Mid-level,Upper-Intermediate,3.0,1850.0
SysAdmin,Mid-level,Elementary,3.0,1300.0
DevOps,Senior-level,Intermediate,7.0,3000.0
Marketing,Management,Pre-Intermediate,5.0,5000.0
Quality Assurance,Mid-level,Intermediate,3.0,1800.0
Management,Management,Intermediate,6.0,4000.0
Quality Assurance,Mid-level,Pre-Intermediate,5.0,1701.0
Management,Senior-level,Advanced,6.0,5500.0
Customer Support,Mid-level,Upper-Intermediate,5.0,1600.0
Management,Entry-level,Upper-Intermediate,2.0,500.0
Quality Assurance,Mid-level,Intermediate,3.0,1200.0
Software Engineer,Mid-level,Upper-Intermediate,4.0,2200.0
Quality Assurance,Mid-level,Advanced,4.0,2500.0
Analyst,Entry-level,Intermediate,1.0,1300.0
Data Scientist,Entry-level,Advanced,1.5,800.0
Software Engineer,Tech leadership,Intermediate,6.0,4000.0
Quality Assurance,Management,Advanced,18.0,5500.0
Quality Assurance,Senior-level,Upper-Intermediate,11.0,2600.0
DevOps,Mid-level,Upper-Intermediate,5.0,2000.0
Software Engineer,Mid-level,Advanced,3.0,1500.0
Design,Mid-level,Intermediate,6.0,2200.0
Data Scientist,Tech leadership,Upper-Intermediate,6.0,4400.0
Quality Assurance,Senior-level,Upper-Intermediate,9.0,3500.0
DevOps,Entry-level,Upper-Intermediate,0.25,650.0
Analyst,Mid-level,Upper-Intermediate,2.0,1800.0
DevOps,Mid-level,Upper-Intermediate,3.0,3400.0
Software Engineer,Mid-level,Upper-Intermediate,7.0,3250.0
Software Engineer,Entry-level,Upper-Intermediate,2.0,850.0
Software Engineer,IC-high,Advanced,13.0,13450.0
Sales,Mid-level,Advanced,4.0,1400.0
Analyst,Mid-level,Advanced,5.0,1370.0
Quality Assurance,Mid-level,Advanced,3.0,1590.0
HR,Senior-level,Upper-Intermediate,10.0,3800.0
Management,Entry-level,Pre-Intermediate,1.5,600.0
Management,IC-high,Upper-Intermediate,18.0,5700.0
Software Engineer,Mid-level,Elementary,2.0,2300.0
Security,Senior-level,Upper-Intermediate,9.0,3400.0
Management,Senior-level,Upper-Intermediate,4.0,3400.0
Quality Assurance,Mid-level,Intermediate,3.0,2500.0
Quality Assurance,Mid-level,Upper-Intermediate,3.0,1600.0
DevOps,Mid-level,Pre-Intermediate,7.0,1800.0
Design,Mid-level,Upper-Intermediate,5.0,2000.0
Design,Entry-level,Upper-Intermediate,1.5,900.0
Analyst,Entry-level,Upper-Intermediate,1.5,900.0
Software Engineer,Senior-level,Upper-Intermediate,7.0,6500.0
Management,Tech leadership,Upper-Intermediate,7.0,7000.0
Quality Assurance,Senior-level,Upper-Intermediate,11.0,3900.0
Software Engineer,Senior-level,Advanced,7.0,2600.0
Quality Assurance,Entry-level,Upper-Intermediate,1.0,700.0
Software Engineer,Entry-level,Intermediate,2.0,950.0
Management,Mid-level,Advanced,3.0,1200.0
HR,Mid-level,Upper-Intermediate,3.0,2000.0
Analyst,Mid-level,Pre-Intermediate,3.0,1250.0
Analyst,Entry-level,Upper-Intermediate,1.0,840.0
